forrester	102647
hearn	102567
buckner	102567
connelly	102525
britt	102517
coulter	102472
neville	102458
carlton	102419
jacob	102368
dickens	102358
ely	102357
butts	102322
dickenson	102282
grover	102243
herndon	102234
hickey	102230
carlisle	102182
pease	102147
shephard	102052
lay	101973
layton	101837
hamm	101796
hobson	101738
shearer	101623
burroughs	101622
main	101533
conklin	101523
milton	101478
eastman	101468
schmitt	101335
reilly	101234
flint	101181
tharp	100957
nye	100947
spicer	100941
huggins	100894
purcell	100866
mcmillen	100681
poe	100670
rains	100665
lemon	100663
schofield	100538
hackett	100437
lutz	100435
branch	100388
stearns	100380
mayfield	100332
hurd	100249
murdock	100247
milligan	100063
larkin	100034
beavers	99974
wheatley	99898
early	99890
moor	99868
hankins	99863
denney	99851
crook	99788
shultz	99664
darby	99606
burks	99545
hurt	99508
whaley	99185
kuhn	99147
hope	99147
magee	99089
presley	99067
hogg	99042
boucher	98934
parry	98907
mcclelland	98892
braun	98877
watt	98658
priest	98596
hagan	98528
pollock	98517
gleason	98515
huber	98396
bartholomew	98387
salmon	98337
bruner	98291
crowell	98157
staples	98065
adcock	98006
mott	97963
wakefield	97959
gage	97950
granger	97782
kiser	97654
mcwilliams	97640
irvin	97583
stacey	97579
beauchamp	97563
cagle	97546
dubois	97408
tabor	97388
swann	97387
whitman	97371
bagley	97349
ramey	97270
donnelly	97191
currie	97181
champion	97146
berger	97062
busby	96941
solomon	96864
hedrick	96863
dempsey	96840
henley	96831
mcmahan	96805
bunch	96802
langston	96730
hewett	96729
burkett	96723
nunn	96669
krause	96661
scarborough	96642
tyson	96477
dobbs	96447
sherrill	96408
neff	96327
houser	96247
hough	96218
hanks	96204
weller	96127
albert	96088
fisk	96044
tackett	96020
willoughby	96019
butterfield	95947
dillard	95941
alden	95861
crain	95633
cheek	95619
grubb	95559
lackey	95542
keene	95490
dooley	95450
millard	95363
delong	95340
winslow	95325
fritz	95133
purdy	95126
ledbetter	95023
friend	95022
kern	94905
unk	94875
westbrook	94854
akin	94816
mcmanus	94754
flemming	94743
stringer	94602
fairchild	94557
swartz	94493
lovett	94263
bone	94064
